# name,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_detected_disc,star_magnetic_field
11 Com b,19.4,1.5,1.5,,,,326.03,0.32,0.32,1.29,0.05,0.05,0.231,0.005,0.005,,,,0.011664,2008,8/21/2015,94.8,1.5,1.5,2452899.6,1.6,1.6,,,,,,,,,,,,,,,,,,,296.7,5.6,5.6,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,11 Com,185.1791667,17.7927778,4.74,,,,,110.6,-0.35,2.7,19,G8 III,,4742,,
11 UMi b,10.5,2.47,2.47,,,,516.22,3.25,3.25,1.54,0.07,0.07,0.08,0.03,0.03,,,,0.012887,2009,8/13/2009,117.63,21.06,21.06,2452861.05,2.06,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,11 UMi,229.275,71.8238889,5.02,,,,,119.5,0.04,1.8,24.08,K4III,1.56,4340,,
14 And b,5.33,0.57,0.57,,,,185.84,0.23,0.23,0.83,,,0,,,,,,0.010864,2008,8/27/2014,,,,2452861.4,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,14 And,352.8208333,39.2361111,5.22,4.1,3.02,2.61,2.33,76.4,-0.24,2.2,11,K0III,,4813,,
14 Her b,4.64,0.19,0.19,,,,1773.4,2.5,2.5,2.77,0.05,0.05,0.369,0.005,0.005,,,,0.153039,2002,8/27/2014,22.6,0.9,0.9,2451372.7,3.6,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,14 Her,242.5958333,43.8216667,6.67,,,,,18.1,0.43,0.9,0.708,K0 V,5.1,5311,,
16 Cyg B b,1.68,0.07,0.07,,,,799.5,0.6,0.6,1.68,0.03,0.03,0.689,0.011,0.011,,,,0.078468,1996,8/27/2014,83.4,2.1,2.1,2450539.3,1.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,16 Cyg B,295.4625,50.5175,6.2,,,,,21.41,0.08,1.01,0.98,G2.5 V,8,5766,,
18 Del b,10.3,,,,,,993.3,3.2,3.2,2.6,,,0.08,0.01,0.01,,,,0.035568,2008,8/27/2014,166.1,6.5,6.5,2451672,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,18 Del,314.6083333,10.8391667,5.52,,4.03,3.44,3.67,73.1,-0.052,2.3,8.5,G6III,,4979,,
1RXS 1609 b,14,3,2,1.7,,,,,,330,0,0,,,,,,,2.275862,2008,3/5/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,,4,Published in a refereed paper,Imaging,,,RXJ 1609; 1RXS J1609-2105b; 1RXS J1609b; 1RXS J160929.1-210524 b,H2O; CO; K,1RXS1609,242.375,-21.0827778,,10.99,9.82,9.12,8.92,145,,0.73,1.35,K7V,0.011,4060,,
1SWASP J1407 b,20,6,6,,,,3725,900,900,3.9,1.7,1.7,,,,,,,,2012,10/29/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,,1SWASP J1407,211.95,-39.76194447,12.4,,,,,133,,0.9,0.99,,0.016,4400,,
24 Sex b,1.99,0.38,0.26,,,,452.8,4.5,2.1,1.333,0.009,0.004,0.09,0.06,0.14,,,,0.017821,2010,5/23/2014,9.2,165.4,277.9,2454762,172.3,172.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,24 Sex,155.8666667,0.9022222,7.38,,,,,74.8,-0.03,1.54,4.9,G5,2.7,5098,,
24 Sex c,0.86,0.22,0.35,,,,883,14,32,2.08,0.02,0.05,0.29,0.09,0.16,,,,0.027807,2010,5/23/2014,220.5,320.9,182.2,2454930,96.5,96.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,24 Sex,155.8666667,0.9022222,7.38,,,,,74.8,-0.03,1.54,4.9,G5,2.7,5098,,
