# name, mass, mass_error_min, mass_error_max, radius, radius_error_min, radius_error_max, orbital_period, orbital_period_err_min, orbital_period_err_max, semi_major_axis, semi_major_axis_error_min, semi_major_axis_error_max, eccentricity, eccentricity_error_min, eccentricity_error_max, angular_distance, inclination, inclination_error_min, inclination_error_max, tzero_tr, tzero_tr_error_min, tzero_tr_error_max, tzero_tr_sec, tzero_tr_sec_error_min, tzero_tr_sec_error_max, lambda_angle, lambda_angle_error_min, lambda_angle_error_max, tzero_vr, tzero_vr_error_min, tzero_vr_error_max, temp_calculated, temp_measured, hot_point_lon, log_g, publication_status, discovered, updated, omega, omega_error_min, omega_error_max, tperi, tperi_error_min, tperi_error_max, detection_type, molecules, star_name, ra, dec, mag_v, mag_i, mag_j, mag_h, mag_k, star_distance, star_metallicity, star_mass, star_radius, star_sp_type, star_age, star_teff
Kepler-10 b,0.014473146,0.003964383,0.003964383,0.130252708,0.001784284,0.001784284,0.8374912,3.00E-06,3.00E-06,0.01687,0.00014,0.00014,0,,,9.70E-05,84.15,0.18,0.18,2454964.574,0.00082,0.00082,,,,,,,,,,,,,,1,2011,11/26/2013,,,,,,,detected by transit,,Kepler-10,285.6791667,50.2413889,10.96,,,,,173,-0.15,0.895,1.056,G,11.9,5627
Kepler-10 c,0.063,inf,nan,0.206976906,0.002676426,0.002676426,45.29427,0.00012,0.00012,0.2413,0.0021,0.0021,0,,,0.001391,89.64,0.06,0.06,245971.6761,0.0023,0.0023,,,,,,,,,,,,,,1,2011,11/26/2013,,,,,,,detected by transit,,Kepler-10,285.6791667,50.2413889,10.96,,,,,173,-0.15,0.895,1.056,G,11.9,5627
Kepler-11 b,0.005978039,0.004404871,0.003146336,0.160585531,0.002676426,0.004460709,10.30375,0.00016,0.00016,0.091,0.003,0.003,0,,,,88.5,0.6,0.6,2454971.505,0.0077,0.0077,,,,,,,,,,,,,,1,2011,11/5/2013,,,,,,,detected by transit,,Kepler-11,297.1166667,41.9091667,13.7,,,,,,0,0.95,1.1,G,8,5680
Kepler-11 c,0.009124375,0.009124375,0.005034138,0.256044707,0.005352851,0.005352851,13.02502,8.00E-05,8.00E-05,0.106,0.004,0.004,0,,,,89,0.6,0.6,2454971.175,0.0031,0.0031,,,,,,,,,,,,,,1,2011,11/5/2013,,,,,,,detected by transit,,Kepler-11,297.1166667,41.9091667,13.7,,,,,,0,0.95,1.1,G,8,5680
Kepler-11 d,0.022968253,0.002517069,0.004719504,0.278348253,0.006244993,0.006244993,22.68719,0.00021,0.00021,0.159,0.005,0.005,0,,,,89.3,0.4,0.4,2454981.455,0.0044,0.0044,,,,,,,,,,,,,,1,2011,11/5/2013,,,,,,,detected by transit,,Kepler-11,297.1166667,41.9091667,13.7,,,,,,0,0.95,1.1,G,8,5680
Kepler-11 e,0.02643,0.005978,0.007866,0.4043,0.0385,0.0385,31.9959,0.00028,0.00028,0.194,0.007,0.007,0,,,,88.8,0.2,0.2,2454987.159,0.0037,0.0037,,,,,,,,,,,,,,1,2011,2/2/2011,,,,,,,detected by transit,,Kepler-11,297.1166667,41.9091667,13.7,,,,,,0,0.95,1.1,G,8,5680
Kepler-11 f,0.006292672,0.002517069,0.002831702,0.222143317,0.003568567,0.006244993,46.68876,0.00074,0.00074,0.25,0.009,0.009,0,,,,89.4,0.2,0.2,2454964.649,0.0059,0.0059,,,,,,,,,,,,,,1,2011,11/5/2013,,,,,,,detected by transit,,Kepler-11,297.1166667,41.9091667,13.7,,,,,,0,0.95,1.1,G,8,5680
Kepler-11 g,0.95,0,0.95,0.3274,0.0313,0.0313,118.37774,0.00112,0.00112,0.462,0.016,0.016,0,,,,89.8,0.2,0.2,2455120.29,0.0022,0.0022,,,,,,,,,,,,,,1,2011,7/23/2012,,,,,,,detected by transit,,Kepler-11,297.1166667,41.9091667,13.7,,,,,,0,0.95,1.1,G,8,5680
Kepler-114 b,0.022024353,0.009439008,0.009439008,0.105272737,0.007137135,0.007137135,5.188548,2.90E-05,2.90E-05,0.052,,,,,,,87.66,,,2454978.364,,,,,,,,,,,,722,,,,1,2013,12/20/2013,,,,,,,detected by transit,,Kepler-114,294.1208,48.3494,13.7,,,,,,-0.003,0.71,0.65,,,4450
Kepler-114 c,0.125853444,0.025170689,0.025170689,0.143,0.0044,0.0044,8.041,,,0.07,,,,,,,88.24,,,2454976.039,0.0015,0.0015,,,,,,,,,,623,,,,1,2013,12/20/2013,,,,,,,detected by transit,,Kepler-114,294.1208,48.3494,13.7,,,,,,-0.003,0.71,0.65,,,4450
